#数据文件中的 # : , 均应为英文字符
#可以忽略0个空格的行
#可以忽略有多个空格的行
#CS 指定坐标系 BJ54 XA80 CGCS2000 WGS84 CS00
#CS: BJ54
#CS: XA80
#CS: WGS84
#CS: CGCS2000
#CS: CS00, 6378137, 298.257222101
CS: CS00, 6379344.296, 298.3
#角度数据格式为D.MMSS
L0: 106.25
YKM: 0
N: 0
#角度的单位，默认为 D.MMSS
#ANGLE : DEGREE D.MMSSS RADIAN
ANGLE: D.MMSSS
#FORMAT: BL or XY or BLXY or XYBL
FORMAT: BL
#点名, B, L, X, Y, 子午线收敛角(γ),长度比(m)
GPSⅠ078, 25.5922715592, 106.203710076, 2876236.04060291, -7313.37868003017, -0°01′55.20478″, 1.0000006598628
GPSⅠ080, 25.5904348824, 106.204208064, 2875670.6302742, -7175.15717655578, -0°01′53.0019″, 1.00000063515653
GPSⅠ081, 25.593923358, 106.240286452, 2876742.52258754, -1589.34315772554, -0°00′25.04138″, 1.00000003116395
GPSⅠ082, 25.4116914156, 105.560140532, 2842902.04024016, -48487.6708517096, -0°12′33.64485″, 1.00002900722354
GPSⅠ083, 25.4056605188, 105.555056644, 2842278.04524173, -48792.2589416002, -0°12′38.18824″, 1.00002937283321
GPSⅠ084, 25.4035151528, 105.554894752, 2841617.87561966, -48839.8410740979, -0°12′38.72575″, 1.00002943018214
GPSⅠ085, 25.4022713852, 105.55566832, 2841234.25698166, -48625.4784120924, -0°12′35.27903″, 1.00002917242262
GPSⅠ086, 25.4010376616, 105.55432498, 2840855.89913143, -49001.5764201799, -0°12′41.00447″, 1.0000296254618
GPSⅠ087, 25.3946131084, 105.552810532, 2840111.19689932, -49426.7893216482, -0°12′47.37743″, 1.0000301418841
GPSⅠ088, 25.3813479, 105.550096708, 2837262.24605842, -50194.586431111, -0°12′58.40254″, 1.00003108575795
GPSⅠ089, 25.37589836, 105.550537888, 2836815.62125075, -50073.1708850553, -0°12′56.37987″, 1.00003093557532
GPSⅠ090, 25.3742473136, 105.551034904, 2836306.91689364, -49936.3995987006, -0°12′54.10046″, 1.00003076683442
GPSⅠ091, 25.3732694312, 105.54561096, 2836007.42713901, -50334.8657374335, -0°13′00.18277″, 1.00003125981757
GPSⅠ092, 25.3714316888, 105.544399164, 2835443.06350826, -50675.1584952131, -0°13′05.27812″, 1.00003168394679
GPSⅠ093, 25.3640988448, 105.541534428, 2834420.30028743, -51478.5340963465, -0°13′17.39758″, 1.00003269656954
GPSⅠ094, 25.2803287964, 105.462992224, 2818542.25426106, -64544.2496025431, -0°16′33.36857″, 1.00005140171531
GPSⅠ095, 25.2807644036, 105.460840324, 2818679.24025192, -65144.8612000387, -0°16′42.66718″, 1.00005236279219
GPSⅠ096, 25.2816974012, 105.455438844, 2818968.31975894, -65535.0412559144, -0°16′48.79024″, 1.00005299189665
GPSⅠ097, 25.2813129248, 105.453813372, 2818852.20938417, -65989.7841317708, -0°16′55.74176″, 1.00005372987866
GPSⅠ098, 25.2817487444, 105.45261738, 2818988.00157527, -66323.285844327, -0°17′00.93089″, 1.000054274328
GPSⅠ099, 25.2825747896, 105.454567536, 2819239.56690619, -65777.1606631567, -0°16′52.62821″, 1.00005338415708
GPSⅠ100, 25.2838766792, 105.45574146, 2819638.67361867, -65447.2130603161, -0°16′47.71212″, 1.00005284989606
GPSⅠ101, 25.2899949156, 105.461515324, 2820288.24056399, -64948.45559593, -0°16′40.29647″, 1.00005204739042
GPSⅠ102, 25.2913708284, 105.464605816, 2820707.57784127, -64083.0259649918, -0°16′27.13643″, 1.00005066953603
